name,founded_at,first_funding_at,last_funding_at
KleenResource,1/1/16 12:00 AM,4/10/15 12:00 AM,4/10/15 12:00 AM
American Development Group,12/23/15 12:00 AM,1/9/15 12:00 AM,1/9/15 12:00 AM
Resource Funding Capital,11/5/15 12:00 AM,5/21/14 12:00 AM,5/21/14 12:00 AM
VRCommerce,11/1/15 12:00 AM,12/1/15 12:00 AM,12/1/15 12:00 AM
treekele,10/26/15 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
InMyO,10/17/15 12:00 AM,1/22/15 12:00 AM,1/22/15 12:00 AM
"Helbiz, Inc.",10/16/15 12:00 AM,10/20/15 12:00 AM,10/20/15 12:00 AM
Perfect Leads,10/15/15 12:00 AM,3/3/15 12:00 AM,3/3/15 12:00 AM
KountMoney,10/13/15 12:00 AM,11/26/15 12:00 AM,11/26/15 12:00 AM
Qipu,10/13/15 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
Zize,10/10/15 12:00 AM,11/30/15 12:00 AM,11/30/15 12:00 AM
Travelbeta,10/1/15 12:00 AM,11/16/15 12:00 AM,11/16/15 12:00 AM
"Solera Health, Inc.",10/1/15 12:00 AM,11/3/15 12:00 AM,11/3/15 12:00 AM
Fax.to,10/1/15 12:00 AM,10/21/15 12:00 AM,10/21/15 12:00 AM
Connected2Fiber,10/1/15 12:00 AM,10/1/15 12:00 AM,10/1/15 12:00 AM
Meu Filho Inventor,10/1/15 12:00 AM,10/1/15 12:00 AM,10/1/15 12:00 AM
On-the-Go Academy,10/1/15 12:00 AM,10/1/15 12:00 AM,10/1/15 12:00 AM
Timp.pro,10/1/15 12:00 AM,10/1/14 12:00 AM,10/1/14 12:00 AM
Sensoraide,10/1/15 12:00 AM,11/21/13 12:00 AM,6/30/15 12:00 AM
OTC PR Group,10/1/15 12:00 AM,1/1/12 12:00 AM,1/1/12 12:00 AM
Bike-ID,9/25/15 12:00 AM,7/11/15 12:00 AM,7/11/15 12:00 AM
SKACE,9/22/15 12:00 AM,10/12/15 12:00 AM,10/12/15 12:00 AM
"NanoTechGalaxy, Inc",9/21/15 12:00 AM,10/13/15 12:00 AM,10/13/15 12:00 AM
CitizenLab,9/21/15 12:00 AM,9/18/15 12:00 AM,9/18/15 12:00 AM
International Star Inc,9/14/15 12:00 AM,9/14/15 12:00 AM,9/14/15 12:00 AM
Healvo,9/11/15 12:00 AM,9/11/15 12:00 AM,10/1/15 12:00 AM
Dwellxchange Inc.,9/8/15 12:00 AM,10/1/15 12:00 AM,10/1/15 12:00 AM
Global Rooms Limited,9/2/15 12:00 AM,9/2/15 12:00 AM,11/19/15 12:00 AM
MiniBrew,9/1/15 12:00 AM,10/21/15 12:00 AM,10/21/15 12:00 AM
Like a Boss Games,9/1/15 12:00 AM,10/1/15 12:00 AM,10/1/15 12:00 AM
X2AI,9/1/15 12:00 AM,9/28/15 12:00 AM,9/28/15 12:00 AM
Juggernaut,9/1/15 12:00 AM,9/23/15 12:00 AM,9/23/15 12:00 AM
CareCube,9/1/15 12:00 AM,9/19/15 12:00 AM,9/19/15 12:00 AM
Advocate,9/1/15 12:00 AM,9/1/15 12:00 AM,9/1/15 12:00 AM
Gopher Leads Inc.,9/1/15 12:00 AM,9/1/15 12:00 AM,9/1/15 12:00 AM
Paytradie,9/1/15 12:00 AM,9/1/15 12:00 AM,9/1/15 12:00 AM
SPARK Finance,9/1/15 12:00 AM,9/1/15 12:00 AM,9/1/15 12:00 AM
Black is Pink,9/1/15 12:00 AM,2/15/15 12:00 AM,2/15/15 12:00 AM
Rentlord,9/1/15 12:00 AM,9/12/11 12:00 AM,9/12/11 12:00 AM
Rentberry,8/28/15 12:00 AM,11/5/15 12:00 AM,12/3/15 12:00 AM
Parcify,8/24/15 12:00 AM,6/1/15 12:00 AM,6/1/15 12:00 AM
Typeset,8/20/15 12:00 AM,9/15/15 12:00 AM,9/15/15 12:00 AM
Distressed Realty Fund,8/18/15 12:00 AM,8/18/15 12:00 AM,8/18/15 12:00 AM
Siren Care IVS,8/18/15 12:00 AM,5/22/15 12:00 AM,11/1/15 12:00 AM
BANCALIS GmbH,8/13/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
Travis,8/12/15 12:00 AM,5/15/15 12:00 AM,8/12/15 12:00 AM
JuroJinX,8/3/15 12:00 AM,8/3/15 12:00 AM,8/3/15 12:00 AM
Zappy,8/3/15 12:00 AM,8/3/15 12:00 AM,8/3/15 12:00 AM
Snappy Chow,8/1/15 12:00 AM,8/15/15 12:00 AM,8/15/15 12:00 AM
Lunar Way,8/1/15 12:00 AM,8/13/15 12:00 AM,8/13/15 12:00 AM
New Detroit,8/1/15 12:00 AM,8/2/15 12:00 AM,8/2/15 12:00 AM
Airy:3D,8/1/15 12:00 AM,8/1/15 12:00 AM,8/1/15 12:00 AM
UFO.delivery,8/1/15 12:00 AM,8/1/15 12:00 AM,8/1/15 12:00 AM
JobCast.io,8/1/15 12:00 AM,7/12/15 12:00 AM,7/12/15 12:00 AM
Doris & Dicky,8/1/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
Made.it,8/1/15 12:00 AM,1/15/15 12:00 AM,1/15/15 12:00 AM
nPerson,7/31/15 12:00 AM,8/12/15 12:00 AM,8/12/15 12:00 AM
PieShell,7/30/15 12:00 AM,12/1/15 12:00 AM,12/1/15 12:00 AM
Doctor Insta,7/30/15 12:00 AM,1/2/15 12:00 AM,1/2/15 12:00 AM
Levin Pharma,7/29/15 12:00 AM,9/11/15 12:00 AM,9/11/15 12:00 AM
Little,7/29/15 12:00 AM,7/29/15 12:00 AM,7/29/15 12:00 AM
ExigeApp,7/29/15 12:00 AM,7/10/15 12:00 AM,7/10/15 12:00 AM
SPATEZ TECHNOLOGY LLP.,7/24/15 12:00 AM,9/6/15 12:00 AM,9/6/15 12:00 AM
TVibes,7/21/15 12:00 AM,9/7/15 12:00 AM,9/7/15 12:00 AM
SportChirp,7/19/15 12:00 AM,8/1/15 12:00 AM,8/1/15 12:00 AM
"Copypants, Inc.",7/18/15 12:00 AM,7/15/15 12:00 AM,7/15/15 12:00 AM
ShareACar,7/15/15 12:00 AM,9/4/15 12:00 AM,9/4/15 12:00 AM
AgentRave,7/15/15 12:00 AM,8/15/15 12:00 AM,8/15/15 12:00 AM
"Comixtoon, Inc.",7/15/15 12:00 AM,7/15/15 12:00 AM,10/14/15 12:00 AM
"TurnHere, Inc.",7/15/15 12:00 AM,11/1/06 12:00 AM,6/1/12 12:00 AM
D7 Sounds LLC,7/11/15 12:00 AM,10/11/15 12:00 AM,10/11/15 12:00 AM
FIT BIG DATA,7/10/15 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
Backpacker Panda Holidays Private Limited,7/9/15 12:00 AM,8/8/15 12:00 AM,8/8/15 12:00 AM
Pandora Box,7/9/15 12:00 AM,7/15/15 12:00 AM,7/15/15 12:00 AM
Scuter,7/9/15 12:00 AM,7/10/15 12:00 AM,7/10/15 12:00 AM
ExploreLifeTraveling,7/9/15 12:00 AM,7/9/15 12:00 AM,11/6/15 12:00 AM
Homes at Henbest Farms,7/8/15 12:00 AM,6/22/15 12:00 AM,6/22/15 12:00 AM
"Illumineto, Inc.",7/6/15 12:00 AM,7/6/15 12:00 AM,11/13/15 12:00 AM
Solepalace,7/6/15 12:00 AM,7/6/15 12:00 AM,7/6/15 12:00 AM
Veruca,7/4/15 12:00 AM,7/4/15 12:00 AM,7/4/15 12:00 AM
Faira,7/4/15 12:00 AM,5/1/15 12:00 AM,10/15/15 12:00 AM
MOSMARY - FOOD ON DEMAND,7/3/15 12:00 AM,11/22/15 12:00 AM,11/22/15 12:00 AM
Supernewsroom,7/3/15 12:00 AM,8/6/15 12:00 AM,8/6/15 12:00 AM
GamePlan Learning,7/2/15 12:00 AM,7/15/15 12:00 AM,7/15/15 12:00 AM
Boombox,7/1/15 12:00 AM,10/23/15 12:00 AM,10/23/15 12:00 AM
Glued,7/1/15 12:00 AM,9/30/15 12:00 AM,9/30/15 12:00 AM
laiye,7/1/15 12:00 AM,9/29/15 12:00 AM,9/29/15 12:00 AM
Soundctl,7/1/15 12:00 AM,9/23/15 12:00 AM,9/23/15 12:00 AM
RateGator,7/1/15 12:00 AM,9/16/15 12:00 AM,9/16/15 12:00 AM
Chexology,7/1/15 12:00 AM,9/11/15 12:00 AM,9/11/15 12:00 AM
Gazelle Integrated Media,7/1/15 12:00 AM,8/26/15 12:00 AM,8/26/15 12:00 AM
LearnBox,7/1/15 12:00 AM,8/1/15 12:00 AM,8/1/15 12:00 AM
Legit,7/1/15 12:00 AM,7/9/15 12:00 AM,7/9/15 12:00 AM
Baboon,7/1/15 12:00 AM,7/1/15 12:00 AM,10/30/15 12:00 AM
CHEC PR,7/1/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
ipaster,7/1/15 12:00 AM,7/1/15 12:00 AM,9/15/15 12:00 AM
Bespokify,7/1/15 12:00 AM,6/1/15 12:00 AM,6/1/15 12:00 AM
LawPadi,7/1/15 12:00 AM,3/23/15 12:00 AM,3/23/15 12:00 AM
Buckley & Brown,7/1/15 12:00 AM,3/1/15 12:00 AM,3/1/15 12:00 AM
AlleyMag,7/1/15 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
CannyKart.com,7/1/15 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
edugates - Experience a New Language,7/1/15 12:00 AM,10/1/14 12:00 AM,10/1/14 12:00 AM
Ðnso.fm,6/29/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
Kulina,6/29/15 12:00 AM,6/29/15 12:00 AM,6/29/15 12:00 AM
UPitch,6/29/15 12:00 AM,6/18/15 12:00 AM,6/18/15 12:00 AM
ARITHMETICI,6/29/15 12:00 AM,6/9/15 12:00 AM,6/9/15 12:00 AM
Clean Wave Technologies,6/29/15 12:00 AM,4/21/15 12:00 AM,4/21/15 12:00 AM
M3 Energias Renovaveis,6/25/15 12:00 AM,6/30/15 12:00 AM,6/30/15 12:00 AM
Vira Therapeutics,6/24/15 12:00 AM,6/24/15 12:00 AM,6/24/15 12:00 AM
SelfDrvn Enterprise Pte Ltd,6/23/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
Townrush,6/22/15 12:00 AM,7/26/15 12:00 AM,7/26/15 12:00 AM
Danny Group,6/21/15 12:00 AM,6/19/15 12:00 AM,6/19/15 12:00 AM
SpotHelp,6/20/15 12:00 AM,7/20/15 12:00 AM,7/20/15 12:00 AM
BDCM Support Services Corporation,6/20/15 12:00 AM,11/16/14 12:00 AM,11/16/14 12:00 AM
Coomuna,6/17/15 12:00 AM,5/12/14 12:00 AM,5/12/14 12:00 AM
Agorana Media Corporation,6/16/15 12:00 AM,7/14/15 12:00 AM,7/14/15 12:00 AM
Gild Collective,6/16/15 12:00 AM,6/16/15 12:00 AM,6/16/15 12:00 AM
Hale Hau'oli Adult Day Care,6/15/15 12:00 AM,9/4/15 12:00 AM,9/4/15 12:00 AM
Phlo,6/15/15 12:00 AM,7/7/15 12:00 AM,7/7/15 12:00 AM
Myia,6/12/15 12:00 AM,6/3/15 12:00 AM,6/3/15 12:00 AM
Lucrypt Limited,6/11/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
Pangaea Planet,6/10/15 12:00 AM,7/10/15 12:00 AM,7/10/15 12:00 AM
Skuuper,6/10/15 12:00 AM,6/10/15 12:00 AM,6/10/15 12:00 AM
Untold Magazine - Stories worth telling,6/10/15 12:00 AM,5/15/15 12:00 AM,5/15/15 12:00 AM
Antesy,6/9/15 12:00 AM,7/31/15 12:00 AM,7/31/15 12:00 AM
Synchronise,6/7/15 12:00 AM,11/12/15 12:00 AM,11/12/15 12:00 AM
Scopio,6/5/15 12:00 AM,12/4/14 12:00 AM,11/20/15 12:00 AM
vasiti.com,6/4/15 12:00 AM,2/2/15 12:00 AM,2/2/15 12:00 AM
RiftCat,6/3/15 12:00 AM,1/3/15 12:00 AM,1/3/15 12:00 AM
Klear Kapture,6/3/15 12:00 AM,12/2/14 12:00 AM,12/2/14 12:00 AM
Exogenus Therapeutics,6/2/15 12:00 AM,9/15/15 12:00 AM,9/15/15 12:00 AM
TRIBE,6/2/15 12:00 AM,4/1/15 12:00 AM,4/1/15 12:00 AM
Stylofie.com,6/1/15 12:00 AM,11/24/15 12:00 AM,11/24/15 12:00 AM
AdHawk,6/1/15 12:00 AM,11/18/15 12:00 AM,11/18/15 12:00 AM
Frichti,6/1/15 12:00 AM,11/10/15 12:00 AM,11/10/15 12:00 AM
Wade & Wendy,6/1/15 12:00 AM,10/28/15 12:00 AM,10/28/15 12:00 AM
Bixxr.com,6/1/15 12:00 AM,10/15/15 12:00 AM,10/15/15 12:00 AM
HeadBox,6/1/15 12:00 AM,10/13/15 12:00 AM,10/13/15 12:00 AM
